training_size,test_ptr,mean,median,hit_rate,n
4,15,262.7375368768438,238,0.0,19999
4,16,364.7325,300.0,0.0,20000
4,17,349.8401840184018,258.0,0.0,19998
6,0,4.532224948670439,4,1.0,19969
6,1,265.45574557455745,246.0,0.0,19998
6,2,308.04510451045104,240.0,0.00010001000100010001,19998
6,3,242.63302155754513,236,5.00175061271445e-05,19993
6,4,242.53792689634483,230,0.0,19999
6,5,261.27862786278627,240.0,0.0,19998
6,6,329.3032651632582,252,5.000250012500625e-05,19999
6,7,275.3324666233312,246,0.0,19999
6,8,254.25796449112278,234,5.001250312578144e-05,19995
6,9,262.24461223061155,244,0.0,19999
6,10,251.2999299929993,242.0,0.0,19998
6,11,263.7824,246.0,5e-05,20000
6,12,270.4871974394879,242.0,0.0,19996
6,13,253.5000750037502,246,0.0,19999
6,14,304.9841476221433,256,0.0,19997
6,15,286.04560684102614,252,0.0,19997
6,16,358.4323432343234,300.0,0.0,19998
6,17,318.08481696339265,244.0,0.0,19996
8,0,4.286173310573351,4.0,1.0,19918
8,1,252.19442916437467,236,0.0,19997
8,2,256.3082770692673,250,0.0,19995
8,3,264.58251650330067,252.0,0.0,19996
8,4,243.08525426271314,232,0.0,19999
8,5,265.5039751987599,244,0.0,19999
8,6,258.8449689937988,236.0,5.001000200040008e-05,19996
8,7,288.6089217843569,248.0,0.0,19996
8,8,255.22872287228722,242.0,0.0,19998
8,9,279.53490698139626,250.0,0.0,19996
8,10,271.54515451545154,248.0,5.000500050005001e-05,19998
8,11,243.76148807440373,238,0.0,19999
8,12,255.69378468923446,232,0.0,19999
8,13,297.3769,252.0,0.0,20000
8,14,261.0667,232.0,0.0,20000
8,15,316.7613141971296,244,0.0,19997
8,16,276.9521856556967,244.0,0.0,19994
8,17,236.54872743637182,234,0.0,19999
10,0,4.455132375756969,4,1.0,19981
10,1,233.99939981994598,232.0,0.0,19994
10,2,255.72413103275818,248,0.0,19995
10,3,243.6939234808702,232,0.0,19995
10,4,276.33398349587395,228,5.001250312578144e-05,19995
10,5,260.2114317147572,244,0.0,19997
10,6,250.62566256625664,238.0,0.0,19998
10,7,235.47254725472547,232.0,0.0,19998
10,8,268.1224183627544,242,0.0,19997
10,9,259.8492698539708,236.0,0.0,19996
10,10,242.48062403120156,240,0.0,19999
10,11,243.61788536560968,238.0,0.0,19994
10,12,239.05255788368254,238,0.0,19997
10,13,259.2884865459638,236.0,0.0,19994
10,14,254.22566770031008,236.0,0.0,19994
10,15,238.82386477295458,240.0,0.0,19996
10,16,264.9381345336334,242,0.0,19995
10,17,261.5865966491623,240,0.0,19995
12,0,4.087561292905034,4.0,1.0,19986
12,1,253.0241048209642,236.0,5.001000200040008e-05,19996
12,2,271.15614684405324,242.0,0.0,19994
12,3,237.15791579157917,226.0,0.0,19998
12,4,252.05070507050706,248.0,0.0,19998
12,5,251.02740274027403,242.0,0.0,19998
12,6,265.4618192728909,242,0.0,19997
12,7,257.3162316231623,236.0,0.0,19998
12,8,244.74407440744073,226.0,0.0,19998
12,9,253.96279069767442,248,0.0,19995
12,10,247.58833825073762,226,0.0,19997
12,11,251.93458037411224,238.0,0.0,19994
12,12,251.55098774693673,246,0.0,19995
12,13,266.4256851370274,238.0,0.0,19996
12,14,264.4800200050012,248,0.0,19995
12,15,238.22532253225322,228.0,5.000500050005001e-05,19998
12,16,235.1007550377519,234,5.000250012500625e-05,19999
12,17,293.1250562528126,244,0.0,19999
14,0,4.207876695190913,4,1.0,19983
14,1,263.4234846969394,234.0,0.0,19996
14,2,268.66109749387226,234,5.00225101295583e-05,19991
14,3,285.6603150787697,244,0.0,19995
14,4,270.6082824847454,232.0,0.0,19994
14,5,259.4252137820673,240,0.0,19997
14,6,261.9966,234.0,0.0,20000
14,7,292.78083425027506,234.0,0.0,19994
14,8,241.55615561556155,232.0,0.0,19998
14,9,261.72530385634974,240,0.0,19993
14,10,230.002300230023,230.0,0.0,19998
14,11,309.38794698674667,236,0.0,19995
14,12,250.25713857078563,238,0.0,19997
14,13,253.416,238.0,0.0,20000
14,14,248.50822541127056,236,5.000250012500625e-05,19999
14,15,239.33353335333533,238.0,0.0,19998
14,16,236.50355035503551,226.0,0.0,19998
14,17,254.65933076576803,240,0.0,19993
