offset,mean,median,hit_rate,n
4576,252.35530143444677,236,0.0,9969
4577,242.45003508068558,230,0.0,9977
4578,252.57509267608455,240,0.0,9981
4579,258.65812136991786,242.0,0.0,9986
4580,254.086015037594,236,0.0,9975
4581,261.76550756588836,246,0.0,9979
4582,265.23910648101776,248,0.0,9983
4583,249.34783044393225,240,0.0,9979
4584,253.97494487873323,236.0,0.0,9978
4585,264.5338007010516,254,0.0,9985
4586,245.90053143487415,230,0.0,9973
4587,250.85888833249874,242,0.0,9985
4588,256.6073361395069,244.0,0.0,9978
4589,243.235700691175,234,0.0,9983
4590,264.96020847950285,254,0.0,9977
4591,254.45713714114234,246,0.0,9997
4592,258.5231170394143,242,0.0,9971
4593,243.58020238453062,232,0.0,9981
4594,250.1854596435009,240.0,0.0,9986
4595,246.80993390747045,236.0,0.0,9986
4596,254.58120684479135,246,0.0,9993
4597,259.20080240722166,248.0,0.0,9970
4598,250.26146146146147,240.0,0.0,9990
4599,243.0242242242242,234.0,0.0,9990
4600,263.3718179995991,248.0,0.0,9978
4601,249.45849604485832,238,0.0,9987
4602,246.95560677422588,238,0.0,9979
4603,251.39757830481338,240,0.0,9993
4604,254.39081151569866,242,0.0,9969
4605,258.0240577385726,246.0,0.0,9976
4606,252.1921537229784,242.0,0.0,9992
4607,262.8699569526479,254,0.0,9989
4608,255.43714971977582,244.0,0.0,9992
4609,252.44947421131698,236,0.0,9985
4610,250.7563614506111,240.0,0.0,9982
4611,265.4331797235023,252.0,0.0,9982
4612,250.36471059483276,240.0,0.0,9986
4613,243.2009607686149,236.0,0.0,9992
4614,256.9003904294724,250,0.0,9989
4615,241.99238782051282,230.0,0.0,9984
4616,236.99087902175003,228,0.0,9977
4617,249.22764146219328,230,0.0,9985
4618,266.6236472945892,254.0,0.0,9980
4619,247.91747621432148,240,0.0,9985
4620,248.06348888443821,230.0,0.0,9986
4621,236.80032044862807,228.0,0.0,9986
4622,249.6196196196196,240.0,0.0,9990
4623,247.69012110899808,238,0.0,9991
4624,251.29971932638333,238.0,0.0,9976
4625,242.59080436742462,232,0.0,9983
4626,254.47133119486767,240.0,0.0,9976
4627,242.73879103282627,236.0,0.0,9992
4628,255.4172755479932,246,0.0,9991
4629,241.76041666666666,230.0,0.0,9984
4630,249.48843264897346,240,0.0,9985
4631,256.84784784784785,246.0,0.0,9990
4632,239.02942942942943,232.0,0.0,9990
4633,248.24664664664664,240.0,0.0,9990
4634,246.89412000400682,236,0.0,9983
4635,249.12194633560273,240.0,0.0,9988
4636,243.5812042881475,236,0.0,9981
4637,254.96804567765201,246,0.0,9983
4638,249.38546365914786,240,0.0,9975
4639,249.45134160993192,236.0,0.0,9988
4640,244.17955911823648,232.0,0.0,9980
4641,259.1796875,248.0,0.0,9984
4642,249.3562205985387,244,0.0,9991
4643,239.0497093605933,230.0,0.0,9978
4644,235.02913787924302,230,0.0,9987
4645,236.71157514305793,226,0.0,9961
4646,249.34448227518527,242.0,0.0,9986
4647,243.27895791583165,236.0,0.0,9980
4648,248.5251877816725,236,0.0,9985
4649,248.92293817015732,236,0.0001002104419280489,9979
4650,246.29000600841178,230.0,0.0,9986
4651,244.0710781860046,236,0.0,9989
4652,259.62885562142066,244,0.0,9953
4653,262.6266653310628,254,0.0,9983
4654,248.5013023442196,234.0,0.0,9982
4655,255.44704704704705,248.0,0.0,9990
4656,251.72942118966554,242.0,0.0,9986
4657,241.62721715602765,234,0.0,9979
4658,249.64144144144143,236.0,0.0,9990
4659,246.47249774571685,230,0.0,9981
4660,268.2657440834336,254.0,0.0,9972
4661,256.4242851389448,236.0,0.0,9932
4662,257.2815319831562,246.0,0.0,9974
4663,253.5527950310559,240.0,0.0,9982
4664,247.66088438784718,236,0.0,9973
4665,254.64958462616354,246,0.0,9991
4666,258.35244502460085,246,0.0,9959
4667,257.0698746867168,246,0.0,9975
4668,239.91724276124637,228,0.0,9981
4669,253.23107769423558,244,0.0,9975
4670,247.09087261785356,230.0,0.0,9970
4671,238.78253030151257,232,0.0,9983
4672,260.46597855496543,250,0.0,9979
4673,246.34087722811935,236.0,0.0,9986
4674,250.5599839775686,240.0,0.0,9986
4675,255.32906196816498,248,0.0,9989
4676,256.75818564133374,246,0.0,9987
4677,254.27692615970344,246,0.0,9981
4678,249.9567134268537,240.0,0.0,9980
4679,259.12767024370675,246,0.0,9971
4680,254.46233974358975,240.0,0.0,9984
4681,243.1049834553294,234,0.0,9973
4682,247.2028854824166,238,0.0,9981
4683,242.30252606255013,230.0,0.0,9976
4684,246.67141138732958,232.0,0.0,9976
4685,246.69877828960546,236.0,0.0,9986
4686,242.83796528544195,230,0.00010033109260559848,9967
4687,246.824248496994,238.0,0.0,9980
4688,252.16860698514654,238.0,0.0,9964
4689,264.2160104197976,252,0.0,9981
4690,246.95412660256412,236.0,0.0,9984
4691,237.31983562193045,230,0.00010023053021950487,9977
4692,245.03355032548822,234,0.0,9985
4693,253.96651629072682,236,0.0,9975
4694,240.7162893207774,230.0,0.0,9982
4695,246.49398315282792,236.0,0.0,9972
4696,248.03307607497243,230,0.0,9977
4697,248.51605136436598,236.0,0.0,9968
4698,257.24058493589746,246.0,0.0,9984
4699,254.9860763297606,248,0.0,9983
4700,256.53586116962583,244,0.0,9969
4701,246.362124248497,240.0,0.0,9980
4702,254.09707180104292,238.0,0.0,9972
4703,253.2466385711419,240.0,0.0,9966
4704,249.0704620627443,238,0.0,9977
4705,239.89801642957323,230.0,0.0,9982
