training_size,test_ptr,mean,median,hit_rate,n
308,1,279.31966598329916,238,0.0,19999
308,2,281.23786189309465,246,0.0,19999
308,3,279.22346117305864,254,0.0,19999
308,4,292.57138570785617,236,0.0,19997
308,5,261.7045704570457,236.0,0.0,19998
308,6,264.58245824582457,238.0,0.0,19998
308,7,235.992,230.0,0.0,10000
308,8,239.999,236.0,0.0,20000
308,9,259.6872843642182,236,0.0,19999
308,10,260.3385,244.0,0.0,20000
308,11,274.2322,250.0,0.0,20000
308,12,248.81078107810782,236.0,0.0,19998
308,13,263.46714671467146,252.0,0.0,19998
308,14,263.42271340701103,244,0.0,19997
308,15,277.64582916583316,246.0,0.0,19996
308,16,253.22212221222122,242.0,0.0,19998
308,17,242.27462746274628,234.0,0.0,19998
308,18,267.814,230.0,0.0,20000
308,19,265.60758037901894,238,0.0,19999
308,20,281.35833583358334,250.0,0.0,19998
308,21,267.85767865179776,246,0.0,19997
308,22,276.5042504250425,254.0,0.0,19998
308,23,262.4227211360568,242,0.0,19999
308,24,314.54882744137205,240,0.0,19999
308,25,254.4032403240324,252.0,0.0,19998
308,26,288.3283656731346,244.0,0.0,19996
308,27,281.03735560334053,240,0.0,19997
308,28,254.17302595389307,242,0.0,19997
308,29,252.04200630094513,236,0.0,19997
308,30,260.2067,250.0,0.0,20000
308,31,278.2457245724572,240.0,0.0,19998
308,32,263.4083408340834,248.0,0.0,19998
310,0,260.47442372118604,244,0.0,19999
310,1,272.5486548654865,238.0,0.0,19998
310,2,266.703,252.0,0.0,20000
310,3,248.42022101105056,244,0.0,19999
310,4,268.7899579915983,244.0,0.0,19996
310,5,256.0493024651233,252,0.0,19999
310,6,272.0722036101805,252,0.0,19999
310,7,258.1033258314579,242,5.001250312578144e-05,19995
310,8,260.14371437143717,252.0,0.0,19998
310,9,273.36123612361234,238.0,0.0,19998
310,10,259.8332916645832,242,0.0,19999
310,11,272.6027602760276,244.0,0.0,19998
310,12,295.49527476373817,248,0.0,19999
310,13,244.2813,242.0,0.0,20000
310,14,256.950842626394,246,0.0,19997
310,15,247.83697554633196,240,0.0,19997
310,16,313.46234623462345,238.0,0.0,19998
310,17,264.67703385169256,244,0.0,19999
310,18,268.12910645532276,244,0.0,19999
310,19,256.9791489574479,238,0.0,19999
310,20,244.058402920146,234,0.0,19999
310,21,273.46244624462446,236.0,0.0,19998
310,22,282.1159057952898,252,0.0,19999
310,23,254.40402020101004,248,0.0,19999
310,24,267.30596529826494,234,0.0,19999
310,25,275.1969196919692,252.0,0.0,19998
310,26,253.5696,242.0,0.0,20000
310,27,327.96799679967995,248.0,0.0,19998
310,28,270.9079907990799,246.0,0.0,19998
310,29,274.07830391519576,234,0.0,19999
310,30,242.7663,234.0,0.0,20000
310,31,255.1569578478924,240,0.0,19999
310,32,263.7969593918784,242.0,0.0,19996
312,0,259.35296764838245,240,0.0,19999
312,1,273.6332,236.0,0.0,20000
312,2,260.99324966248315,244,0.0,19999
312,3,263.16025801290067,252,0.0,19999
312,4,238.9817,238.0,0.0,20000
312,5,245.6661,240.0,0.0,20000
312,6,265.05450545054504,244.0,0.0,19998
312,7,256.2323348502275,238,0.0,19997
312,8,253.62316231623163,236.0,0.0,19998
312,9,259.8910945547277,240,0.0,19999
312,10,255.5917,238.0,0.0,20000
312,11,267.8241,240.0,0.0,20000
312,12,295.3265326532653,248.0,0.0,19998
312,13,248.52802640132006,236,0.0,19999
312,14,264.7125712571257,242.0,0.0,19998
312,15,252.812221833275,246,0.0,19997
312,16,267.76727672767277,240.0,0.0,19998
312,17,252.9157,238.0,0.0,20000
312,18,309.3771,248.0,0.0,20000
312,19,277.03000300030004,240.0,0.0,19998
312,20,264.5389,244.0,0.0,20000
312,21,253.00325048757313,244,0.0,19997
312,22,259.98059805980597,240.0,0.0,19998
312,23,270.89894494724734,240,0.0,19999
312,24,286.53257988698306,242,0.0,19997
312,25,266.6803,252.0,0.0,20000
312,26,250.99534930239537,236,5.000750112516878e-05,19997
312,27,310.890067020106,244,0.0,9997
312,28,272.4407,246.0,0.0,20000
312,29,260.2683134156708,244,0.0,19999
312,30,255.7879787978798,246,0.0,9999
312,31,321.74596189428416,244,0.0,19997
312,32,256.1219121912191,240.0,0.0,19998
314,0,244.70550582587387,242,0.0,19997
314,1,255.55243286492973,232,0.0,19997
314,2,243.63564534680202,234,0.0,19997
314,3,247.78125625125026,244.0,0.0,19996
314,4,261.03870387038705,238.0,0.0,19998
314,5,258.9098909890989,248.0,0.0,19998
314,6,266.5393078615723,246.0,0.0,19996
314,7,243.9541,240.0,0.0,20000
314,8,261.13785689284464,238,0.0,19999
314,9,310.021702170217,250.0,0.0,19998
314,10,275.0888,244.0,0.0,20000
314,11,255.17783556711342,246.0,0.0,19996
314,12,264.62806280628064,242.0,0.0,19998
314,13,241.7843,240.0,0.0,20000
314,14,260.1123056152808,246,0.0,19999
314,15,250.4363218160908,236,0.0,19999
314,16,282.8653432671634,248,0.0,19999
314,17,272.76873843692186,242,0.0,19999
314,18,262.009200920092,246.0,0.0,19998
314,19,249.4945,242.0,0.0,20000
314,20,246.5446,234.0,0.0,10000
314,21,265.71358567928394,240,0.0,19999
314,22,241.27222722272228,236.0,0.0,19998
314,23,271.01380138013803,238.0,0.0,19998
314,24,253.1162116211621,244.0,0.0,19998
314,25,271.76858842942147,246,0.0,19999
314,26,270.4073407340734,252.0,0.0,19998
314,27,248.8557,242.0,0.0,20000
314,28,278.67566756675666,234.0,0.0,19998
314,29,249.44944494449445,244.0,0.0,19998
314,30,266.0737036851843,252,0.0,19999
314,31,267.728432108027,236,0.0,19995
314,32,259.52805280528054,250.0,0.0,19998
316,0,264.3611180559028,244,0.0,19999
316,1,253.5362,240.0,0.0,20000
316,2,260.9645482274114,242,0.0,19999
316,3,241.15345767288363,230,0.0,19999
316,4,265.6544827241362,240,0.0,19999
316,5,243.34513451345134,242.0,0.0,19998
316,6,280.17730886544325,244,0.0,19999
316,7,250.10160508025402,238,0.0,19999
316,8,274.5545831874781,236,0.0,19997
316,9,251.00045002250113,230,0.0,19999
316,10,267.785867880182,250,0.0,19997
316,11,317.8986746686672,254,0.0,19995
316,12,261.3606680334017,252,0.0,19999
316,13,252.45784578457847,230.0,0.0,19998
316,14,340.0815040752038,254,0.0,19999
316,15,255.81057158573785,238,0.0,19997
316,16,252.04130826165232,244.0,0.0,19996
316,17,251.11832366473294,240.0,0.0,19996
316,18,243.8426,244.0,0.0,20000
316,19,259.81377206580987,240,0.0,19997
316,20,254.47052352617632,244,0.0,19999
316,21,257.7477873893695,238,0.0,19999
316,22,258.9224,248.0,0.0001,10000
316,23,281.14827224083615,252,0.0,19997
316,24,281.7747,242.0,0.0,20000
316,25,269.0701535076754,244,0.0,19999
316,26,246.50697604640695,234,0.0,19997
316,27,243.9993,240.0,0.0,20000
316,28,255.23466173308665,250,0.0,19999
316,29,265.5522552255226,246.0,0.0,19998
316,30,269.0352,232.0,0.0,20000
316,31,282.45706856028403,246,0.0,19997
316,32,243.91639581979098,234,0.0,19999
318,0,253.85388538853886,240.0,0.0,19998
318,1,243.20246012300615,234,0.0,19999
318,2,275.03580358035805,252.0,0.0,19998
318,3,252.14981498149814,248,0.0,9999
318,4,249.12611261126114,234,0.0,9999
318,5,271.4064703235162,240,0.0,19999
318,6,302.93782823988397,246,5.00175061271445e-05,19993
318,7,276.0601150287572,246,0.0,19995
318,8,240.51895189518953,240.0,0.0,19998
318,9,239.3696,234.0,0.0,10000
318,10,254.315,238.0,0.0,10000
318,11,250.75763788189408,236,0.0,19999
318,12,288.3827,240.0,0.0,20000
318,13,256.4711,236.0,0.0,20000
318,14,283.72047204720474,244.0,0.0,19998
318,15,259.28052805280527,254,0.0,9999
318,16,293.6733346669334,236.0,0.0,19996
318,17,261.991599159916,244.0,0.0,19998
318,18,257.9171917191719,242.0,0.0,19998
318,19,274.3369,242.0,0.0,20000
318,20,299.8498924946247,240,0.0,19999
318,21,268.7858392919646,248,0.0,19999
318,22,265.0617061706171,254.0,0.0,19998
318,23,277.09626443966596,248,0.0,19997
318,24,249.0413,244.0,0.0,20000
318,25,248.16642496374456,238,0.0,19997
318,26,271.5221,246.0,0.0,20000
318,27,276.1797089854493,252,0.0,19999
318,28,247.987199359968,244,0.0,19999
318,29,263.15861586158616,240.0,0.0,19998
318,30,254.102005100255,250,0.0,19999
318,31,272.23392339233925,244.0,0.0,19998
318,32,236.5077253862693,234,0.0,19999
