stride,access_size,test_ptr,mean,median,hit_rate,n
1,1,91,300.1016203240648,272.0,0.0,9998
1,1,92,290.9128,272.0,0.0,10000
1,1,93,292.61846184618463,266,0.0,9999
1,1,94,299.74917491749176,266,0.0,9999
1,1,95,305.206,266.0,0.0,10000
1,1,96,295.4937493749375,272,0.0,9999
1,1,97,298.8560856085609,272,0.0,9999
1,1,98,322.6485297059412,282.0,0.0,9998
1,1,99,288.2408,266.0,0.0,10000
1,2,0,289.75877587758777,266,0.0,9999
1,2,1,289.4708,272.0,0.0,10000
1,2,2,279.1662,272.0,0.0,10000
1,2,3,313.9526,272.0,0.0,10000
1,2,4,326.5750575057506,282,0.0,9999
1,2,5,293.5782,266.0,0.0,10000
1,2,6,292.6794,266.0,0.0,10000
1,2,7,320.0438,266.0,0.0,10000
1,2,8,330.96679335867174,266.0,0.0,9998
1,2,9,308.2716271627163,272,0.0,9999
1,2,10,310.4352435243524,272,0.0,9999
1,2,11,290.438,272.0,0.0,10000
1,2,12,306.7722772277228,266,0.0,9999
1,2,13,278.6256,266.0,0.0,10000
1,2,14,307.9576,266.0,0.0,10000
1,2,15,296.6168616861686,266,0.0,9999
1,2,16,312.876,272.0,0.0,10000
1,2,17,307.002500250025,266,0.0,9999
1,2,18,304.1966,274.0,0.0,10000
1,2,19,308.6401280256051,272.0,0.0,9998
1,2,20,302.3598719743949,272.0,0.0,9998
1,2,21,305.0698,274.0,0.0,10000
1,2,22,324.3594,272.0,0.0,10000
1,2,23,310.5588,274.0,0.0,10000
1,2,24,311.44714471447145,272,0.0,9999
1,2,25,300.80428042804283,266,0.0,9999
1,2,26,304.6316631663166,266,0.0,9999
1,2,27,306.88,272.0,0.0,10000
1,2,28,294.63546354635463,274,0.0,9999
1,2,29,296.5742,272.0,0.0,10000
1,2,30,307.7598,272.0,0.0,10000
1,2,31,304.9328,272.0,0.0,10000
1,2,32,305.4887488748875,272,0.0,9999
1,2,33,301.4472,272.0,0.0,10000
1,2,34,300.36683668366834,266,0.0,9999
1,2,35,285.7188,266.0,0.0,10000
1,2,36,294.0852,266.0,0.0,10000
1,2,37,274.4044,266.0,0.0,10000
1,2,38,288.6072,266.0,0.0,10000
1,2,39,330.2208220822082,280,0.0,9999
1,2,40,297.6582,272.0,0.0,10000
1,2,41,309.9372,272.0,0.0,10000
1,2,42,291.8504,272.0,0.0,10000
1,2,43,294.9878,266.0,0.0,10000
1,2,44,303.4708,272.0,0.0,10000
1,2,45,288.86208620862084,272,0.0,9999
1,2,46,298.3036,272.0,0.0,10000
1,2,47,304.8842,272.0,0.0,10000
1,2,48,329.2998,280.0,0.0,10000
1,2,49,303.95439543954393,272,0.0,9999
1,2,50,300.4204,272.0,0.0,10000
1,2,51,300.4108821764353,272.0,0.0,9998
1,2,52,302.7882788278828,266,0.0,9999
1,2,53,310.5952,266.0,0.0,10000
1,2,54,303.6972,272.0,0.0,10000
1,2,55,285.796,266.0,0.0,10000
1,2,56,292.1274,266.0,0.0,10000
1,2,57,305.5773577357736,272,0.0,9999
1,2,58,337.8254,266.0,0.0,10000
1,2,59,294.76227622762275,266,0.0,9999
1,2,60,302.8074,266.0,0.0,10000
1,2,61,292.4902,266.0,0.0,10000
1,2,62,305.6052,266.0,0.0,10000
1,2,63,330.6911382276455,272.0,0.0,9998
1,2,64,319.2228,274.0,0.0,10000
1,2,65,303.8346,272.0,0.0,10000
1,2,66,292.9986,266.0,0.0,10000
1,2,67,309.26352635263527,266,0.0,9999
1,2,68,319.3696,272.0,0.0,10000
1,2,69,283.8135813581358,272,0.0,9999
1,2,70,279.5406,266.0,0.0,10000
1,2,71,305.025902590259,272,0.0,9999
1,2,72,305.0662,272.0,0.0,10000
1,2,73,297.577,266.0,0.0,10000
1,2,74,297.8546,266.0,0.0,10000
1,2,75,315.2034,266.0,0.0,10000
1,2,76,295.6082,272.0,0.0,10000
1,2,77,292.54605460546054,266,0.0,9999
1,2,78,302.9180918091809,266,0.0,9999
1,2,79,312.2734,266.0,0.0,10000
1,2,80,292.839,266.0,0.0,10000
1,2,81,307.4047404740474,272,0.0,9999
1,2,82,300.70527052705273,272,0.0,9999
1,2,83,302.0738,266.0,0.0,10000
1,2,84,309.38007601520303,266.0,0.0,9998
1,2,85,302.728,266.0,0.0,10000
1,2,86,305.3562,266.0,0.0,10000
1,2,87,290.537,266.0,0.0,10000
1,2,88,312.9032,266.0,0.0,10000
1,2,89,292.7032703270327,272,0.0,9999
1,2,90,294.5522,266.0,0.0,10000
1,2,91,308.1488,274.0,0.0,10000
1,2,92,301.01490149014904,266,0.0,9999
1,2,93,322.3968,272.0,0.0,10000
1,2,94,290.7776,272.0,0.0,10000
1,2,95,323.0302,272.0,0.0,10000
1,2,96,310.8176,272.0,0.0,10000
1,2,97,333.6743674367437,272,0.0,9999
1,2,98,311.5568,272.0,0.0,10000
1,2,99,295.5556,266.0,0.0,10000
1,3,0,301.0178,274.0,0.0,10000
1,3,1,343.15211521152116,272,0.0,9999
1,3,2,319.3847384738474,266,0.0,9999
1,3,3,288.1616,272.0,0.0,10000
1,3,4,295.1258,266.0,0.0,10000
1,3,5,283.8883888388839,266,0.0,9999
1,3,6,345.72054410882174,272.0,0.0,9998
1,3,7,305.879,266.0,0.0,10000
1,3,8,296.062,280.0,0.0,10000
1,3,9,318.8600860086009,272,0.0,9999
1,3,10,278.5104510451045,266,0.0,9999
1,3,11,310.3266326632663,272,0.0,9999
1,3,12,281.3931393139314,266,0.0,9999
1,3,13,318.5764,272.0,0.0,10000
1,3,14,311.2908,266.0,0.0,10000
1,3,15,299.1324,272.0,0.0,10000
1,3,16,308.7592,272.0,0.0,10000
1,3,17,284.4574,272.0,0.0,10000
1,3,18,311.2303230323032,272,0.0,9999
1,3,19,305.7698,266.0,0.0,10000
1,3,20,315.3434,272.0,0.0,10000
1,3,21,305.8168,274.0,0.0,10000
1,3,22,289.7541754175418,272,0.0,9999
1,3,23,314.17301730173017,272,0.0,9999
1,3,24,321.2242,266.0,0.0,10000
1,3,25,309.46314631463144,266,0.0,9999
1,3,26,319.18431843184317,266,0.0,9999
1,3,27,337.05390539053906,266,0.0,9999
1,3,28,337.656,272.0,0.0,10000
1,3,29,321.6024,272.0,0.0,10000
1,3,30,316.7240724072407,272,0.0,9999
1,3,31,300.8642,272.0,0.0,10000
1,3,32,327.9259925992599,272,0.0,9999
1,3,33,287.44934493449347,272,0.0,9999
1,3,34,297.6428,266.0,0.0,10000
1,3,35,301.3302,272.0,0.0,10000
1,3,36,327.5849169833967,274.0,0.0,9998
1,3,37,308.441,266.0,0.0,10000
1,3,38,299.7448,266.0,0.0,10000
1,3,39,321.3102620524105,272.0,0.0,9998
1,3,40,300.8256,280.0,0.0,10000
1,3,41,321.8967690307092,272,0.0,9997
1,3,42,292.111,266.0,0.0,10000
1,3,43,285.5085508550855,266,0.0,9999
1,3,44,304.5558,272.0,0.0,10000
1,3,45,329.9772,272.0,0.0,10000
1,3,46,289.775,266.0,0.0,10000
1,3,47,324.2914,272.0,0.0,10000
1,3,48,315.5962,266.0,0.0,10000
1,3,49,309.294,272.0,0.0,10000
1,3,50,310.4646,272.0,0.0,10000
1,3,51,288.4768,272.0,0.0,10000
1,3,52,297.3654,266.0,0.0,10000
1,3,53,286.1192,272.0,0.0,10000
1,3,54,300.7812,266.0,0.0,10000
1,3,55,312.2748,272.0,0.0,10000
1,3,56,297.6826,272.0,0.0,10000
1,3,57,318.24362436243626,272,0.0,9999
1,3,58,328.007400740074,266,0.0,9999
1,3,59,328.9922,274.0,0.0,10000
1,3,60,321.6335633563356,266,0.0,9999
1,3,61,300.8064,266.0,0.0,10000
1,3,62,320.15841584158414,272,0.0,9999
1,3,63,350.243,274.0,0.0,10000
1,3,64,338.3718,272.0,0.0,10000
1,3,65,300.4194,266.0,0.0,10000
1,3,66,304.955,272.0,0.0,10000
1,3,67,314.5908,266.0,0.0,10000
1,3,68,279.844,266.0,0.0,10000
1,3,69,332.613,282.0,0.0,10000
1,3,70,332.39,272.0,0.0,10000
1,3,71,300.8082,272.0,0.0,10000
1,3,72,302.038,266.0,0.0,10000
1,3,73,320.87108710871087,266,0.0,9999
1,3,74,276.9132,266.0,0.0,10000
1,3,75,281.9564,266.0,0.0,10000
1,3,76,346.8484,272.0,0.0,10000
1,3,77,291.5158,266.0,0.0,10000
1,3,78,289.1122,266.0,0.0,10000
1,3,79,310.39003900390037,274,0.0,9999
1,3,80,292.7204,266.0,0.0,10000
1,3,81,313.9725945189038,272.0,0.0,9998
1,3,82,288.22922292229225,266,0.0,9999
1,3,83,341.1751175117512,272,0.0,9999
1,3,84,313.5052,274.0,0.0,10000
1,3,85,303.542,266.0,0.0,10000
1,3,86,311.1756,272.0,0.0,10000
1,3,87,289.3324,266.0,0.0,10000
1,3,88,321.1906,272.0,0.0,10000
1,3,89,336.3776,272.0,0.0,10000
1,3,90,313.1203120312031,266,0.0,9999
1,3,91,345.04550455045506,282,0.0,9999
1,3,92,349.8366,274.0,0.0,10000
1,3,93,321.6831683168317,272,0.0,9999
1,3,94,321.78075615123026,266.0,0.0,9998
1,3,95,345.79235847169434,274.0,0.0,9998
1,3,96,300.8692869286929,266,0.0,9999
1,3,97,313.1554,266.0,0.0,10000
1,3,98,341.7979797979798,280,0.0,9999
1,3,99,354.2514,272.0,0.0,10000
1,4,0,283.7457745774577,266,0.0,9999
1,4,1,311.7957795779578,272,0.0,9999
1,4,2,284.6448644864486,266,0.0,9999
1,4,3,302.7046704670467,280,0.0,9999
1,4,4,296.8692,272.0,0.0,10000
1,4,5,282.2004,266.0,0.0,10000
1,4,6,324.989898989899,272,0.0,9999
1,4,7,287.7987798779878,266,0.0,9999
1,4,8,347.6895689568957,266,0.0,9999
1,4,9,318.73074614922984,272.0,0.0,9998
1,4,10,296.84965489646896,266,0.0,9997
1,4,11,346.38343834383437,266,0.0,9999
1,4,12,289.5016,274.0,0.0,10000
1,4,13,287.2566,266.0,0.0,10000
1,4,14,324.1378,266.0,0.0,10000
1,4,15,325.7042,266.0,0.0,10000
1,4,16,298.09760976097607,266,0.0,9999
1,4,17,355.3618,274.0,0.0,10000
1,4,18,315.5396,280.0,0.0,10000
1,4,19,301.8645864586459,266,0.0,9999
1,4,20,283.0504,272.0,0.0,10000
1,4,21,301.142,274.0,0.0,10000
1,4,22,337.9256,272.0,0.0,10000
1,4,23,344.6552655265527,266,0.0,9999
1,4,24,322.8782,266.0,0.0,10000
1,4,25,323.6828,266.0,0.0,10000
1,4,26,297.7699539907982,272.0,0.0,9998
1,4,27,294.9144914491449,266,0.0,9999
1,4,28,328.2050205020502,272,0.0,9999
1,4,29,328.0034,274.0,0.0,10000
1,4,30,324.747,272.0,0.0,10000
1,4,31,347.3246,274.0,0.0,10000
1,4,32,329.3352,272.0,0.0,10000
1,4,33,320.9818,282.0,0.0,10000
1,4,34,349.0536,266.0,0.0,10000
1,4,35,317.0938,266.0,0.0,10000
1,4,36,318.8142814281428,266,0.0,9999
1,4,37,302.37563756375636,272,0.0,9999
1,4,38,343.3428,272.0,0.0,10000
1,4,39,316.7448,282.0,0.0,10000
1,4,40,329.84,272.0,0.0,10000
1,4,41,331.7245724572457,272,0.0,9999
1,4,42,344.904,274.0,0.0,10000
1,4,43,322.2766,272.0,0.0,10000
